Site;Lat;Lon;M2 amp;M2 phase (deg UT);K1 amp;K1 phase (deg UT)
Sooke;48.367;123.733;43.8;282.7;56.9;266.4
Port Angeles;48.125;123.44;51.8;307.4;66.9;261.4
Pedder Bay;48.331;123.549;34.2;308;62.7;269
Esquimalt;48.433;123.433;36.7;317.1;64.3;268.1
Clover Point;48.405;123.347;40.3;320.3;64.2;269.8
Victoria;48.417;123.367;37.3;316.1;62.7;269.2
Finnerty Cove;48.473;123.295;44.7;357.7;70.8;277.5
Port Townsend;48.145;122.755;65.2;350;75;270.8
Sidney;48.65;123.4;55.4;5.9;76.7;277.6
Patricia Bay;48.65;123.45;60.3;14.4;76;281.3
Maple Bay;48.817;123.617;68.5;17;79.3;281.2
Fulford Harbour;48.767;123.45;58.2;12.7;75.3;280
Ladysmith;48.983;123.8;70.8;16.3;79.8;281.8
Patos Island;48.783;122.967;68;25;79;285.6
Tumbo Channel;48.792;123.108;72.6;31;81.1;286.9
Whaler Bay;48.885;123.325;83.4;32.9;84.7;287.5
Silva Bay;49.153;123.7;92.2;32;86.5;286.7
Ferndale;48.833;122.717;72.3;23.8;80.1;283.6
Blaine;48.99;122.76;77.4;25.1;82.3;284.3
Tsawwassen;48.99;123.133;81.1;27.8;83.4;284.8
Sandheads;49.1;123.3;86.9;30.9;83.7;286.5
Point Grey;49.25;123.267;94.5;33.9;90.6;287
Point Atkinson;49.333;123.25;91.8;31.2;86.2;286.1
Squamish;49.7;123.15;94.2;31.2;87.4;286.8
Gibsons Landing;49.4;123.5;94.7;30.1;87.2;285.2
Halfmoon Bay;49.517;123.917;96.4;31.5;88;285.8
Irvines Landing;49.633;124.05;98.8;31.9;88;286.7
Winchelsea;49.3;124.083;95.2;32.6;87.5;286.7
Northwest Bay;49.3;124.2;95.6;32.7;87.2;286.7
Cherry Point;48.863;122.757;73.2;21.8;81.5;281.9
Friday Harbour;48.545;123.01;56.4;11;76.3;279.4
Rosario;48.647;122.87;58.1;4.3;75.3;277.3
North Beach;48.712;122.908;68.4;18.1;79.2;281.8
Bellingham;48.745;122.495;65.3;15.2;77;281.1
Anacortes;48.523;122.613;62.2;5.2;77.3;277.2
Reservation Bay;48.415;122.652;58.1;344.7;73.8;269.5
Hanbury Point;48.58;123.172;52.8;357.3;75.3;275.1
Sheringham Point;48.375;123.918;48.7;263.3;54.8;261.5
Neah Bay;48.3667;124.6117;78.9;246.2;49.6;248.5
Sekiu Clallam Bay;48.2633;124.2967;66.9;258;54.2;252.2
Port Angeles;48.125;123.44;51.4;307.1;66.7;261.8
Port Townsend;48.1117;122.7567;68.5;349.7;76.6;270.7
Budd Inlet;47.0983;122.895;145.9;30.3;87.7;289.6
Tacoma;47.2667;122.4133;113.9;11.8;83.8;277.9
Seattle;47.6017;122.3383;107.2;10.6;83.4;277
Bangor;47.7483;122.7267;102.4;4.1;83.5;274.8
Foulweather Bluff;47.9267;122.6167;88.3;3.4;76.5;275.9
Everett;47.98;122.2217;100.9;11.6;80.9;276.9
Sneeoosh Point;48.4;122.5467;102.6;18.3;78.4;282
Turner Bay;48.445;122.555;94.4;16.7;75.4;281.4
Armitage Island;48.535;122.7967;57.3;0.5;75.6;276.4
Friday Harbour;48.5467;123.01;56.5;9.7;75.8;278.8
Richardson;48.4467;122.9;52.2;340.1;71.3;270.9
Cherry Point;48.8633;122.7567;73.4;22.8;81.7;282.8
Blaine;48.99167;122.765;76.3;24.8;78.4;286.3
