Station_Name,Point Atkinson, B.C.
Station_Number,7795
Latitude_Decimal_Degrees,49.337
Longitude_Decimal_Degrees,123.253
Datum,CD
Time_Zone,PST
SLEV=Observed Water Level
Obs_date,SLEV(metres),ATMS,PSAL,TEMP
2006/11/15 00:00,3.17,
2006/11/15 01:00,3.34,
2006/11/15 02:00,3.42,
2006/11/15 03:00,3.34,
2006/11/15 04:00,3.22,
2006/11/15 05:00,3.01,
2006/11/15 06:00,2.88,
2006/11/15 07:00,2.81,
2006/11/15 08:00,2.94,
2006/11/15 09:00,3.28,
2006/11/15 10:00,3.7,
2006/11/15 11:00,4.18,
2006/11/15 12:00,4.64,
2006/11/15 13:00,4.97,
2006/11/15 14:00,5.05,
2006/11/15 15:00,4.91,
2006/11/15 16:00,4.62,
2006/11/15 17:00,4.2,
2006/11/15 18:00,3.72,
2006/11/15 19:00,3.29,
2006/11/15 20:00,2.94,
2006/11/15 21:00,2.77,
2006/11/15 22:00,2.83,
2006/11/15 23:00,3.03,
2006/11/16 00:00,3.29,
